genes,num_genes,mse
"fcrl6,tmt1a,mstn,sfmbt1",4,7.850775038180208
"fcrl6,tmt1a,mstn,pfn2",4,7.968033895594278
"fcrl6,tmt1a,sfmbt1,pfn2",4,7.966984661906747
"fcrl6,aifm2,mstn,sfmbt1",4,7.857098003059468
"fcrl6,aifm2,mstn,pfn2",4,7.963925980582804
"fcrl6,aifm2,sfmbt1,pfn2",4,7.922525651983854
"fcrl6,mstn,sfmbt1,pfn2",4,7.918949752352667
"osbp2,bambi,lrrc37a2,fyn",4,7.859554242856255
"osbp2,bambi,lrrc37a2,tmt1a",4,7.845670540635624
"osbp2,bambi,lrrc37a2,aifm2",4,7.84631740348031
"osbp2,bambi,lrrc37a2,mstn",4,7.874703124608129
"osbp2,bambi,lrrc37a2,sfmbt1",4,7.865490782512316
"osbp2,bambi,lrrc37a2,pfn2",4,7.864470585680831
"osbp2,bambi,fyn,tmt1a",4,7.795540453132997
"osbp2,bambi,fyn,aifm2",4,7.853609119633975
"osbp2,bambi,fyn,mstn",4,7.84186835892926
"osbp2,bambi,fyn,sfmbt1",4,7.892012212410018
"osbp2,bambi,fyn,pfn2",4,7.831934075693159
"osbp2,bambi,tmt1a,aifm2",4,7.871417209014612
"osbp2,bambi,tmt1a,mstn",4,7.921023552134881
"osbp2,bambi,tmt1a,sfmbt1",4,7.8998107067719
"osbp2,bambi,tmt1a,pfn2",4,7.916961409790786
"osbp2,bambi,aifm2,mstn",4,7.962604699232858
"osbp2,bambi,aifm2,sfmbt1",4,7.884528862837938
"osbp2,bambi,aifm2,pfn2",4,7.900287457644838
"osbp2,bambi,mstn,sfmbt1",4,7.893737713083881
"osbp2,bambi,mstn,pfn2",4,7.969267065778386
"osbp2,bambi,sfmbt1,pfn2",4,7.905224663741726
"osbp2,lrrc37a2,fyn,tmt1a",4,7.859389102159616
"osbp2,lrrc37a2,fyn,aifm2",4,7.8967472753651125
"osbp2,lrrc37a2,fyn,mstn",4,7.811349392828987
