genes,num_genes,mse
"mstn,pfn2,fyn,lrrc37a2",4,7.925859658762045
"mstn,pfn2,fyn,osbp2",4,7.869446961897422
"mstn,pfn2,lrrc37a2,osbp2",4,7.908095626259793
"mstn,fyn,lrrc37a2,osbp2",4,7.811349392828987
"bambi,tmt1a,sfmbt1,fcrl6",4,7.830196056820187
"bambi,tmt1a,sfmbt1,aifm2",4,7.826832091171309
"bambi,tmt1a,sfmbt1,pfn2",4,7.91254541307136
"bambi,tmt1a,sfmbt1,fyn",4,7.930150062672844
"bambi,tmt1a,sfmbt1,lrrc37a2",4,7.840032268258463
"bambi,tmt1a,sfmbt1,osbp2",4,7.899810706771901
"bambi,tmt1a,fcrl6,aifm2",4,7.803303523576273
"bambi,tmt1a,fcrl6,pfn2",4,7.886782404089717
"bambi,tmt1a,fcrl6,fyn",4,7.801612795379568
"bambi,tmt1a,fcrl6,lrrc37a2",4,7.789008098270051
"bambi,tmt1a,fcrl6,osbp2",4,7.823317456676257
"bambi,tmt1a,aifm2,pfn2",4,7.91549999845897
"bambi,tmt1a,aifm2,fyn",4,7.8258373556363106
"bambi,tmt1a,aifm2,lrrc37a2",4,7.826865816679047
"bambi,tmt1a,aifm2,osbp2",4,7.871417209014612
"bambi,tmt1a,pfn2,fyn",4,7.875592478690712
"bambi,tmt1a,pfn2,lrrc37a2",4,7.9047021829170845
"bambi,tmt1a,pfn2,osbp2",4,7.916961409790786
"bambi,tmt1a,fyn,lrrc37a2",4,7.841243613247558
"bambi,tmt1a,fyn,osbp2",4,7.795540453132995
"bambi,tmt1a,lrrc37a2,osbp2",4,7.845670540635624
"bambi,sfmbt1,fcrl6,aifm2",4,7.8263373411327875
"bambi,sfmbt1,fcrl6,pfn2",4,7.879594149806382
"bambi,sfmbt1,fcrl6,fyn",4,7.926054136784132
"bambi,sfmbt1,fcrl6,lrrc37a2",4,7.819551289249301
"bambi,sfmbt1,fcrl6,osbp2",4,7.8723524095011275
"bambi,sfmbt1,aifm2,pfn2",4,7.860211844404951
"bambi,sfmbt1,aifm2,fyn",4,7.939986003822657
"bambi,sfmbt1,aifm2,lrrc37a2",4,7.82345020738383
"bambi,sfmbt1,aifm2,osbp2",4,7.884528862837938
"bambi,sfmbt1,pfn2,fyn",4,7.966457348342442
"bambi,sfmbt1,pfn2,lrrc37a2",4,7.866379907560326
"bambi,sfmbt1,pfn2,osbp2",4,7.905224663741726
"bambi,sfmbt1,fyn,lrrc37a2",4,7.961539090156022
"bambi,sfmbt1,fyn,osbp2",4,7.892012212410018
"bambi,sfmbt1,lrrc37a2,osbp2",4,7.865490782512316
"bambi,fcrl6,aifm2,pfn2",4,7.901682223915817
"bambi,fcrl6,aifm2,fyn",4,7.851290160169229
"bambi,fcrl6,aifm2,lrrc37a2",4,7.803134804767954
"bambi,fcrl6,aifm2,osbp2",4,7.8510454266738385
"bambi,fcrl6,pfn2,fyn",4,7.868751104841447
"bambi,fcrl6,pfn2,lrrc37a2",4,7.857671061628387
"bambi,fcrl6,pfn2,osbp2",4,7.872921611708976
"bambi,fcrl6,fyn,lrrc37a2",4,7.8798966169122675
"bambi,fcrl6,fyn,osbp2",4,7.848270605064815
"bambi,fcrl6,lrrc37a2,osbp2",4,7.825952775380591
"bambi,aifm2,pfn2,fyn",4,7.8872229305397425
"bambi,aifm2,pfn2,lrrc37a2",4,7.871337532996481
"bambi,aifm2,pfn2,osbp2",4,7.900287457644837
"bambi,aifm2,fyn,lrrc37a2",4,7.883064946021128
"bambi,aifm2,fyn,osbp2",4,7.853609119633975
"bambi,aifm2,lrrc37a2,osbp2",4,7.8463174034803105
"bambi,pfn2,fyn,lrrc37a2",4,7.894464517851357
"bambi,pfn2,fyn,osbp2",4,7.831934075693159
"bambi,pfn2,lrrc37a2,osbp2",4,7.864470585680831
"bambi,fyn,lrrc37a2,osbp2",4,7.859554242856257
"tmt1a,sfmbt1,fcrl6,aifm2",4,7.871740275119062
"tmt1a,sfmbt1,fcrl6,pfn2",4,7.966984661906747
"tmt1a,sfmbt1,fcrl6,fyn",4,7.982813709421901
"tmt1a,sfmbt1,fcrl6,lrrc37a2",4,7.884608674087087
"tmt1a,sfmbt1,fcrl6,osbp2",4,7.9195026514847795
"tmt1a,sfmbt1,aifm2,pfn2",4,7.944045042119002
"tmt1a,sfmbt1,aifm2,fyn",4,7.983332340842985
"tmt1a,sfmbt1,aifm2,lrrc37a2",4,7.865491611979061
"tmt1a,sfmbt1,aifm2,osbp2",4,7.920045983185547
"tmt1a,sfmbt1,pfn2,fyn",4,8.043927795243153
"tmt1a,sfmbt1,pfn2,lrrc37a2",4,7.947357512869282
"tmt1a,sfmbt1,pfn2,osbp2",4,7.982906851468803
"tmt1a,sfmbt1,fyn,lrrc37a2",4,8.01823422546678
"tmt1a,sfmbt1,fyn,osbp2",4,7.932229752994274
"tmt1a,sfmbt1,lrrc37a2,osbp2",4,7.914589169379494
"tmt1a,fcrl6,aifm2,pfn2",4,7.973061874821333
"tmt1a,fcrl6,aifm2,fyn",4,7.870038534852486
"tmt1a,fcrl6,aifm2,lrrc37a2",4,7.843394273648256
"tmt1a,fcrl6,aifm2,osbp2",4,7.858056102448471
"tmt1a,fcrl6,pfn2,fyn",4,7.933062313981959
"tmt1a,fcrl6,pfn2,lrrc37a2",4,7.930911523127249
"tmt1a,fcrl6,pfn2,osbp2",4,7.9253328053075105
"tmt1a,fcrl6,fyn,lrrc37a2",4,7.897518641735541
"tmt1a,fcrl6,fyn,osbp2",4,7.834880930734496
"tmt1a,fcrl6,lrrc37a2,osbp2",4,7.83860866841432
"tmt1a,aifm2,pfn2,fyn",4,7.945950197640624
"tmt1a,aifm2,pfn2,lrrc37a2",4,7.947072466896049
"tmt1a,aifm2,pfn2,osbp2",4,7.964433791597583
"tmt1a,aifm2,fyn,lrrc37a2",4,7.9136869921217325
"tmt1a,aifm2,fyn,osbp2",4,7.860266268194014
"tmt1a,aifm2,lrrc37a2,osbp2",4,7.8767041471868176
"tmt1a,pfn2,fyn,lrrc37a2",4,7.952749135623085
"tmt1a,pfn2,fyn,osbp2",4,7.886717556262782
"tmt1a,pfn2,lrrc37a2,osbp2",4,7.931887717785457
"tmt1a,fyn,lrrc37a2,osbp2",4,7.859389102159616
"sfmbt1,fcrl6,aifm2,pfn2",4,7.922525651983854
"sfmbt1,fcrl6,aifm2,fyn",4,7.970676282556276
"sfmbt1,fcrl6,aifm2,lrrc37a2",4,7.868453031930144
"sfmbt1,fcrl6,aifm2,osbp2",4,7.89649143254873
"sfmbt1,fcrl6,pfn2,fyn",4,7.998572147066117
"sfmbt1,fcrl6,pfn2,lrrc37a2",4,7.914374116050786
"sfmbt1,fcrl6,pfn2,osbp2",4,7.939229261389362
"sfmbt1,fcrl6,fyn,lrrc37a2",4,8.01483819190984
"sfmbt1,fcrl6,fyn,osbp2",4,7.924121483447964
"sfmbt1,fcrl6,lrrc37a2,osbp2",4,7.887417949570001
"sfmbt1,aifm2,pfn2,fyn",4,8.00413933117947
"sfmbt1,aifm2,pfn2,lrrc37a2",4,7.882425657424669
"sfmbt1,aifm2,pfn2,osbp2",4,7.930997437396622
"sfmbt1,aifm2,fyn,lrrc37a2",4,8.012576800056642
"sfmbt1,aifm2,fyn,osbp2",4,7.938867055701686
"sfmbt1,aifm2,lrrc37a2,osbp2",4,7.888820064621957
"sfmbt1,pfn2,fyn,lrrc37a2",4,8.027095711957358
"sfmbt1,pfn2,fyn,osbp2",4,7.947860216547864
"sfmbt1,pfn2,lrrc37a2,osbp2",4,7.918062636920796
"sfmbt1,fyn,lrrc37a2,osbp2",4,7.944778730100082
"fcrl6,aifm2,pfn2,fyn",4,7.954858016705466
"fcrl6,aifm2,pfn2,lrrc37a2",4,7.919464013039483
"fcrl6,aifm2,pfn2,osbp2",4,7.932486904207081
"fcrl6,aifm2,fyn,lrrc37a2",4,7.925276293628413
"fcrl6,aifm2,fyn,osbp2",4,7.868563633700929
"fcrl6,aifm2,lrrc37a2,osbp2",4,7.835801059131914
"fcrl6,pfn2,fyn,lrrc37a2",4,7.937775826448571
"fcrl6,pfn2,fyn,osbp2",4,7.876994963221973
"fcrl6,pfn2,lrrc37a2,osbp2",4,7.8794229778631095
"fcrl6,fyn,lrrc37a2,osbp2",4,7.897041172027982
"aifm2,pfn2,fyn,lrrc37a2",4,7.955010491573523
"aifm2,pfn2,fyn,osbp2",4,7.89869573440093
"aifm2,pfn2,lrrc37a2,osbp2",4,7.899616366773741
"aifm2,fyn,lrrc37a2,osbp2",4,7.896747275365113
"pfn2,fyn,lrrc37a2,osbp2",4,7.889901589740496
"mstn,bambi,tmt1a,sfmbt1,fcrl6",5,7.781566976912744
"mstn,bambi,tmt1a,sfmbt1,aifm2",5,7.849160242408094
"mstn,bambi,tmt1a,sfmbt1,pfn2",5,7.914107599772408
"mstn,bambi,tmt1a,sfmbt1,fyn",5,7.9057123308048975
"mstn,bambi,tmt1a,sfmbt1,lrrc37a2",5,7.820687561315003
"mstn,bambi,tmt1a,sfmbt1,osbp2",5,7.876686219874289
"mstn,bambi,tmt1a,fcrl6,aifm2",5,7.820356448334596
"mstn,bambi,tmt1a,fcrl6,pfn2",5,7.894271475919222
"mstn,bambi,tmt1a,fcrl6,fyn",5,7.7544626263863
"mstn,bambi,tmt1a,fcrl6,lrrc37a2",5,7.74693435153297
"mstn,bambi,tmt1a,fcrl6,osbp2",5,7.769662963218548
"mstn,bambi,tmt1a,aifm2,pfn2",5,7.966338247494303
"mstn,bambi,tmt1a,aifm2,fyn",5,7.826013675362731
"mstn,bambi,tmt1a,aifm2,lrrc37a2",5,7.849198073357766
